CustomerID,Gender,Locations,Age,ProductID,Product_name,Product_Description,Product_Category,Stock,Price,TransactionID,Transaction_Date,Total_Price,Quantity,VoucherID,Voucher_name,Voucher_status,Discount,PMID,Method_name
12350,Male,California,43,GGOEAAAJ032415,Android Men's Short Sleeve Tri-blend Hero Tee Grey,Android Men's Short Sleeve Tri-blend Hero Tee Grey,Apparel,100000,19.59,1004689,17.03.21,19.59,1,ELEC30,Discount 30%,Not Used,30,PM02,Paypal
12359,Male,New York,34,GGOEAAAJ080814,Android Men's Engineer Short Sleeve Tee Charcoal,Android Men's Engineer Short Sleeve Tee Charcoal,Apparel,100000,15.99,1008838,30.01.21,15.99,1,ELEC20,Discount 20%,Clicked,20,PM01,Card
12373,Female,New York,25,GGOEAAEH035213,Android Men's Vintage Henley,Android Men's Vintage Henley,Apparel,100000,7.2,1004098,29.01.21,7.2,1,ELEC30,Discount 30%,Clicked,30,PM04,Other
12383,Male,New York,35,GGOEAAEQ091615,Android Matrix Tee White,Android Matrix Tee White,Apparel,100000,22.41,1008599,08.05.21,44.82,2,ELEC20,Discount 20%,Used,20,PM02,Paypal
12393,Female,Chicago,38,GGOEAAWJ062549,Android Infant Short Sleeve Tee Pewter,Android Infant Short Sleeve Tee Pewter,Apparel,100000,17.53,1009828,18.03.21,788.85,45,OFF20,Discount 20%,Used,20,PM02,Paypal
12410,Male,California,41,GGOEAFKQ020499,8 pc Android Sticker Sheet,8 pc Android Sticker Sheet,Office,100000,2.03,1004612,13.05.21,2.03,1,ELEC30,Discount 30%,Clicked,30,PM04,Other
12414,Male,New York,46,GGOEAFKQ020499,8 pc Android Sticker Sheet,8 pc Android Sticker Sheet,Office,100000,2.03,1004683,21.12.21,2.03,1,ELEC30,Discount 30%,Clicked,30,PM03,Digital Wallets
12431,Female,New Jersey,39,GGOEAFKQ020499,8 pc Android Sticker Sheet,8 pc Android Sticker Sheet,Office,100000,2.03,1000038,24.04.21,2.03,1,ELEC10,Discount 10%,Clicked,10,PM03,Digital Wallets
12433,Male,California,41,GGOEAFKQ020499,8 pc Android Sticker Sheet,8 pc Android Sticker Sheet,Office,100000,2.03,1003943,23.07.21,24.36,12,BT10,Discount 10%,Not Used,10,PM03,Digital Wallets
12437,Female,New Jersey,47,GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,Android Sticker Sheet Ultra Removable,Office,100000,2.39,1004678,15.06.21,2.39,1,ELEC30,Discount 30%,Not Used,30,PM02,Paypal
12464,Male,New York,22,GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,Android Sticker Sheet Ultra Removable,Office,100000,2.39,1007704,21.03.21,2.39,1,NE30,Discount 30%,Clicked,30,PM03,Digital Wallets
12471,Female,California,31,GGOEAHPB076115,Android Stretch Fit Hat,Android Stretch Fit Hat,Apparel,100000,12.31,1001689,15.07.21,147.72,12,OFF10,Discount 10%,Used,10,PM03,Digital Wallets
12472,Female,New Jersey,33,GGOEGAAB010515,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,100000,12.31,1003781,25.01.21,24.62,2,WEMP10,Discount 10%,Clicked,10,PM03,Digital Wallets
12474,Female,New York,29,GGOEGAAB010515,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,100000,12.31,1009730,14.05.21,1846.5,150,OFF20,Discount 20%,Clicked,20,PM02,Paypal
12477,Female,California,59,GGOEGAAB010516,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,100000,13.59,1004404,19.12.21,13.59,1,ELEC30,Discount 30%,Not Used,30,PM03,Digital Wallets
12480,Male,California,54,GGOEGAAB033814,Google Men's Vintage Badge Tee Black,Google Men's Vintage Badge Tee Black,Apparel,100000,7.6,1009664,27.09.21,7.6,1,OFF20,Discount 20%,Used,20,PM03,Digital Wallets
12481,Female,California,57,GGOEGAAB033814,Google Men's Vintage Badge Tee Black,Google Men's Vintage Badge Tee Black,Apparel,100000,7.6,1008437,25.09.21,7.6,1,ELEC20,Discount 20%,Clicked,20,PM04,Other
12484,Male,California,48,GGOEGAAJ032614,Google Men's Short Sleeve Badge Tee Charcoal,Google Men's Short Sleeve Badge Tee Charcoal,Apparel,100000,10.63,1009858,10.01.21,85.04,8,OFF20,Discount 20%,Clicked,20,PM03,Digital Wallets
12489,Male,California,21,GGOEGAAJ080614,Google Men's Bike Short Sleeve Tee Charcoal,Google Men's Bike Short Sleeve Tee Charcoal,Apparel,100000,10.63,1009444,28.11.21,21.26,2,ELEC20,Discount 20%,Clicked,20,PM03,Digital Wallets
12490,Female,New York,54,GGOEGAAL010616,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,100000,17.53,1009738,24.05.21,17.53,1,OFF20,Discount 20%,Used,20,PM02,Paypal
12501,Male,Chicago,58,GGOEGAAQ010414,Google Men's 100% Cotton Short Sleeve Hero Tee White,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,100000,13.59,1008465,10.07.21,13.59,1,ELEC20,Discount 20%,Clicked,20,PM03,Digital Wallets
12502,Female,California,39,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,100000,13.59,1005021,08.08.21,13.59,1,ELEC30,Discount 30%,Used,30,PM01,Card
12503,Female,California,41,GGOEGADB059614,Google Men's Quilted Insulated Vest Black,Google Men's Quilted Insulated Vest Black,Apparel,100000,52.49,1005022,12.07.21,52.49,1,ELEC30,Discount 30%,Used,30,PM03,Digital Wallets
12504,Female,California,19,GGOEGADJ056814,Google Men's Watershed Full Zip Hoodie Grey,Google Men's Watershed Full Zip Hoodie Grey,Apparel,100000,44,1005023,04.07.21,44,1,ELEC30,Discount 30%,Not Used,30,PM01,Card
12505,Female,California,37,GGOEGADJ056815,Google Men's Watershed Full Zip Hoodie Grey,Google Men's Watershed Full Zip Hoodie Grey,Apparel,100000,44,1005024,03.08.21,88,2,ELEC30,Discount 30%,Not Used,30,PM03,Digital Wallets
12506,Female,California,55,GGOEGAEA030414,Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,Apparel,100000,11.19,1005025,17.01.21,22.38,2,ELEC30,Discount 30%,Used,30,PM03,Digital Wallets
12507,Female,California,35,GGOEGAEB027815,Google Women's Short Sleeve Hero Tee Black,Google Women's Short Sleeve Hero Tee Black,Apparel,100000,13.59,1005026,30.01.21,13.59,1,ELEC30,Discount 30%,Not Used,30,PM02,Paypal
12508,Female,California,52,GGOEGAEJ028013,Google Women's Short Sleeve Hero Tee Grey,Google Women's Short Sleeve Hero Tee Grey,Apparel,100000,4.08,1005027,05.11.21,4.08,1,ELEC30,Discount 30%,Used,30,PM01,Card
12509,Female,California,21,GGOEGAEJ031314,Google Tri-blend Hoodie Grey,Google Tri-blend Hoodie Grey,Apparel,100000,39.99,1005028,28.05.21,39.99,1,ELEC30,Discount 30%,Clicked,30,PM03,Digital Wallets
12510,Female,California,49,GGOEGAEL091317,Google Crew Sweater Navy,Google Crew Sweater Navy,Apparel,100000,42.39,1005029,12.09.21,42.39,1,ELEC30,Discount 30%,Used,30,PM02,Paypal
12511,Female,California,50,GGOEGAER029713,Google Women's Short Sleeve Hero Tee Red Heather,Google Women's Short Sleeve Hero Tee Red Heather,Apparel,100000,19.59,1005030,18.08.21,19.59,1,ELEC30,Discount 30%,Used,30,PM02,Paypal
12512,Female,California,17,GGOEGAER029716,Google Women's Short Sleeve Hero Tee Red Heather,Google Women's Short Sleeve Hero Tee Red Heather,Apparel,100000,15.67,1005031,28.05.21,15.67,1,ELEC30,Discount 30%,Used,30,PM03,Digital Wallets
12513,Female,California,62,GGOEGAET090515,Google Tee Yellow,Google Tee Yellow,Apparel,100000,22.41,1005032,15.09.21,44.82,2,ELEC30,Discount 30%,Clicked,30,PM03,Digital Wallets
12514,Female,California,26,GGOEGAFB035814,Google Men's  Zip Hoodie,Google Men's  Zip Hoodie,Apparel,100000,46.21,1005033,23.06.21,46.21,1,ELEC30,Discount 30%,Clicked,30,PM03,Digital Wallets
12515,Female,California,52,GGOEGAFB035815,Google Men's  Zip Hoodie,Google Men's  Zip Hoodie,Apparel,100000,46.21,1005034,28.01.21,92.42,2,ELEC30,Discount 30%,Clicked,30,PM03,Digital Wallets
12516,Female,California,42,GGOEGAFB035816,Google Men's  Zip Hoodie,Google Men's  Zip Hoodie,Apparel,100000,46.21,1005035,18.06.21,46.21,1,ELEC30,Discount 30%,Used,30,PM03,Digital Wallets
12517,Female,California,21,GGOEGAFJ036214,Google Men's Pullover Hoodie Grey,Google Men's Pullover Hoodie Grey,Apparel,100000,53.64,1005036,09.09.21,268.2,5,ELEC30,Discount 30%,Used,30,PM04,Other
12518,Female,California,25,GGOEGALB034116,Google Women's Vintage Hero Tee Black,Google Women's Vintage Hero Tee Black,Apparel,100000,4.56,1005801,30.11.21,4.56,1,OFF30,Discount 30%,Used,30,PM03,Digital Wallets
12519,Female,California,57,GGOEGALJ036414,Google Women's Tee Grey,Google Women's Tee Grey,Apparel,100000,24.75,1005802,28.06.21,618.75,25,OFF30,Discount 30%,Clicked,30,PM01,Card
12520,Female,California,35,GGOEGALL074615,Google Women's Short Sleeve Badge Tee Navy,Google Women's Short Sleeve Badge Tee Navy,Apparel,100000,6.8,1005803,13.10.21,170,25,OFF30,Discount 30%,Clicked,30,PM01,Card
12521,Female,California,60,GGOEGALQ034213,Google Women's Vintage Hero Tee White,Google Women's Vintage Hero Tee White,Apparel,100000,19.59,1005804,09.03.21,489.75,25,OFF30,Discount 30%,Clicked,30,PM02,Paypal
12522,Female,California,20,GGOEGAQB036017,Google Women's Fleece Hoodie,Google Women's Fleece Hoodie,Apparel,100000,57.76,1006944,06.05.21,57.76,1,SALE30,Discount 30%,Not Used,30,PM04,Other
12523,Female,California,51,GGOEGAWC062849,Google Infant Zip Hood Royal Blue,Google Infant Zip Hood Royal Blue,Apparel,100000,31.35,1006945,24.02.21,94.05,3,SALE30,Discount 30%,Used,30,PM04,Other
